	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name
0	-139.9602824002388	-41.311136625463874	-157.98124668510818	0.0	10	4	10_4.pdb
1	-135.1193003381589	-39.906576039525824	-152.15713443820007	0.0	2	3	2_3.pdb
2	-126.58911320112605	-40.644105060106185	-146.31134470577246	0.0	1	5	1_5.pdb
3	-125.61387931476563	-43.84547040854232	-136.0240425182792	0.0	8	5	8_5.pdb
4	-121.05002808907133	-36.76107101184446	-144.0382048618468	0.0	4	3	4_3.pdb
5	-112.04806667194774	-37.656321298275415	-130.6851636474977	0.0	11	1	11_1.pdb
6	-110.53335138927527	-33.32708335665164	-129.2096880512986	0.0	4	5	4_5.pdb
7	-105.12179802512071	-38.18761398825253	-122.21563996540759	0.0	3	2	3_2.pdb
8	-88.4330597479454	-22.078454116654	-128.81216988550148	0.0	9	2	9_2.pdb
9	-80.88124334901971	-12.21707195821202	-141.25247619789388	0.0	11	4	11_4.pdb
10	-68.915191605801	-19.848421945747234	-123.3811738789113	0.0	5	3	5_3.pdb
