	enthalpy	PDB_name
0	-26.609401769331548	14
1	-26.606658363465893	3
2	-26.591699165822774	11
3	-26.564263482589517	24
4	-26.55451614249136	10
5	-26.45132209716624	8
6	-26.425324012075535	15
7	-26.371314616133283	19
8	-26.355812929868005	20
9	-26.261319105290568	13
10	-26.19500717097796	4
11	-24.99232681043765	21
12	-24.712420404172143	12
13	-24.349533569262185	18
14	-24.027562245548094	6
15	-23.793052234386035	22
16	-23.639908572547025	2
17	-22.625047806521135	16
18	-22.611105440999534	9
19	-21.791750728686306	25
20	-21.733808957570638	23
21	-21.69366274675189	17
22	-21.401491455039533	1
23	-20.916018488430083	7
24	-18.19091214717411	5
