	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-33.04374503457897	-32.299244015747966	-64.78159376215058	-20.106675068886744	-0.7445010188310007	3	5
1	-32.89709425741044	-32.29912141463435	-64.66456803623235	-20.129080772208773	-0.5979728427760841	24	6
2	-32.704894885756545	-32.2938586076845	-64.29804586712753	-20.16238459461453	-0.4110362780720475	13	1
3	-32.28160022517274	-32.28160022517274	-64.61024627893465	-20.014153729719958	0.0	21	2
4	-32.87664014660062	-32.278667303824534	-64.4259615980441	-20.12239549245072	-0.5979728427760841	10	6
5	-32.86986287892049	-32.271890036144406	-64.56459605996172	-20.033928139000782	-0.5979728427760841	20	6
6	-32.83586898584798	-32.23789614307189	-64.41110440285294	-20.103939107694245	-0.5979728427760841	19	6
7	-32.231035397866606	-32.231035397866606	-64.39190865681373	-20.08277706093422	0.0	4	2
8	-32.201462323153045	-32.201462323153045	-64.41815355384722	-20.054410425890623	0.0	12	2
9	-32.94559771645238	-32.20109669762138	-64.27958232625396	-20.204451025822987	-0.7445010188310007	15	4
10	-32.71616581876154	-32.11819297598545	-63.838728229799635	-20.161526534706198	-0.5979728427760841	14	6
11	-32.54012128382891	-31.785215480231262	-63.81428859632279	-20.273005093776305	-0.7549058035976479	8	3
12	-29.386685647161777	-28.63177984356413	-63.729053364227326	-20.1113737350638	-0.7549058035976479	16	3
13	-28.860502994526446	-28.116001975695443	-63.951370609491825	-20.230909626872215	-0.7445010188310007	9	4
14	-28.013773254109704	-27.269272235278702	-61.48711769860498	-19.128572975510625	-0.7445010188310007	22	5
15	-27.82784230330446	-27.08334128447346	-62.916628811142125	-19.750664451570533	-0.7445010188310007	23	4
16	-27.691165970613294	-26.946664951782292	-61.42072780041289	-19.097405198862617	-0.7445010188310007	6	4
17	-27.56602441573705	-26.811118612139403	-62.11504640633269	-19.796394152033148	-0.7549058035976479	25	3
18	-27.545100283114348	-26.800599264283345	-62.26219457145824	-19.767036769236327	-0.7445010188310007	17	5
19	-27.086430480608442	-26.488457637832358	-62.09517570740432	-19.789686043096598	-0.5979728427760841	1	6
20	-26.133250401130873	-25.722214123058826	-60.058838400509316	-19.361639946737224	-0.4110362780720475	18	1
21	-24.565558067217204	-23.96758522444112	-61.991595279030825	-19.60463776844783	-0.5979728427760841	5	6
22	-24.495563381798863	-23.75106236296786	-57.52536967632147	-19.476112174216755	-0.7445010188310007	2	5
