	enthalpy	PDB_name
0	-25.912471818509342	22
1	-25.78714942710715	10
2	-25.708215347376303	6
3	-25.504931306993488	11
4	-25.493593178682094	9
5	-25.402173181370916	24
6	-25.372542749539843	17
7	-25.169764236309938	20
8	-25.168014059716914	8
9	-25.15607792124941	3
10	-25.117117134089966	13
11	-25.108437479698697	14
12	-25.100647300489005	18
13	-25.094624221818073	2
14	-25.083105230300774	25
15	-24.95673240496711	21
16	-24.950262263086813	4
17	-24.706984293126727	7
18	-24.653210200401617	19
19	-24.557181676802823	15
20	-24.150236652081738	5
21	-24.02917576089941	23
22	-23.98200583758146	1
23	-23.080064301288015	12
24	-21.442904795815537	16
