	enthalpy	PDB_name
0	-27.597561748055774	10
1	-27.593287336203172	22
2	-27.586027662892135	11
3	-27.55538172954622	25
4	-27.403928254864994	21
5	-27.391874903231113	4
6	-27.212873069895654	5
7	-26.900214460577445	19
8	-26.623800468047676	7
9	-26.297294465306347	17
10	-25.656513328886096	20
11	-25.56813141648348	8
12	-25.31005844948737	12
13	-23.96525074216909	24
14	-23.25088338468692	23
15	-23.235924811226468	2
16	-22.59946041007105	1
17	-22.28584621603398	16
18	-22.262271479833394	14
19	-21.76435061476376	6
20	-21.679586000850815	15
21	-21.532389981989983	9
22	-20.618318613673573	18
23	-15.916652890870138	13
24	-14.456671347382471	3
