	enthalpy	PDB_name
0	-39.57796855179528	24
1	-38.59951048495821	13
2	-38.592661762650145	22
3	-38.27437689332417	7
4	-38.26767979932046	9
5	-37.77492465954101	15
6	-37.63840784641492	2
7	-37.42833186015595	17
8	-36.970784687032065	8
9	-36.47243890782289	1
10	-36.433676701102954	14
11	-36.348661272436416	16
12	-36.23143925133974	3
13	-36.06266499908146	4
14	-35.65239515494933	23
15	-34.891452742081796	5
16	-34.66537023931761	12
17	-33.17118090481453	20
18	-33.156348707260456	18
19	-33.11178917528774	6
20	-32.37999033205903	11
21	-31.79258309667726	21
22	-31.585025179382214	19
23	-30.379047171847063	10
24	-29.998470883833534	25
