	enthalpy	PDB_name
0	-28.286246859050024	2
1	-28.10734577697727	20
2	-28.078279065497053	22
3	-28.01544358970263	17
4	-27.843665528615382	5
5	-27.838953664131175	11
6	-27.264259412396765	10
7	-27.06480341744463	16
8	-27.054564214442497	7
9	-27.05187231850592	15
10	-26.738782758872276	8
11	-26.676786743528865	19
12	-25.10979684833453	24
13	-25.04694917780808	4
14	-25.018212172760673	23
15	-24.859978740508573	14
16	-24.744011816020542	3
17	-24.17926272426556	25
18	-23.513414821413633	18
19	-22.30335546979316	12
20	-21.557497550248765	13
21	-21.55270898050162	6
22	-21.05755222831845	21
23	-18.519818756555843	9
24	-18.07878579214435	1
