	enthalpy	PDB_name
0	-20.28511917045085	11
1	-19.97121775828393	6
2	-19.66084152796444	9
3	-19.577096846608356	13
4	-19.237193656707156	25
5	-17.88573578124107	16
6	-16.405650560570564	5
7	-15.361756747608982	2
8	-15.220788640972959	10
9	-15.182647537937862	7
10	-14.948765951575776	21
11	-14.730505928545888	23
12	-14.61644160184	4
13	-14.461790040060125	19
14	-14.295814734656304	14
15	-14.219920332702102	20
16	-14.076500228571147	17
17	-13.06688183462916	3
18	-12.881904131395874	8
19	-12.47333255753205	18
20	-12.375369426803013	22
21	-12.142486198477513	1
22	-10.86071703823908	15
23	-9.921153369431913	24
24	-8.575898434638825	12
