	enthalpy	PDB_name
0	-24.8326864649	12
1	-24.663783846618255	18
2	-24.5704110849755	11
3	-24.46612444086229	5
4	-24.387644802241418	22
5	-24.35499537363089	6
6	-24.32405489983001	1
7	-24.30916301432113	15
8	-24.223203398110147	8
9	-23.981889594309067	19
10	-23.90161231259628	24
11	-23.81641845765907	4
12	-23.768332355841522	7
13	-23.597794466544574	20
14	-23.542158167357634	25
15	-22.781412951727628	17
16	-22.61641569875292	16
17	-20.359837409183665	13
18	-18.258130873267234	3
19	-16.953547924602827	23
20	-16.702361074958016	2
21	-14.365086107933612	10
22	-13.250157661088087	14
23	-12.44200147335902	21
24	-9.485763396864673	9
