	enthalpy	PDB_name
0	-27.093909192411747	1
1	-27.082326141637324	8
2	-27.079676380062345	15
3	-27.00808463445419	4
4	-27.00007916713896	16
5	-26.991918018215834	13
6	-26.974845847153638	25
7	-26.935438017423465	10
8	-26.821549445617855	20
9	-26.728266413731482	23
10	-26.70916352660719	22
11	-26.65019551435968	21
12	-26.647332201471606	19
13	-26.623670262288336	14
14	-26.399469859294598	2
15	-26.355373894638358	24
16	-26.351816141894314	18
17	-26.172578106853383	3
18	-24.230039685611448	7
19	-23.356504055301887	9
20	-23.284253942460982	6
21	-22.541382761487583	11
22	-20.862107577846583	5
23	-20.791393517311825	17
24	-19.529599736053505	12
