	enthalpy	PDB_name
0	-29.79936792649666	21
1	-29.700867147720572	3
2	-29.68443729231951	15
3	-29.595015579248315	13
4	-29.510004562199644	8
5	-29.437096531293992	2
6	-29.32031997559593	10
7	-28.984187933645707	16
8	-28.784520848682945	18
9	-28.437918614496486	9
10	-28.19727281656926	25
11	-28.01086500515708	11
12	-27.96173700889714	4
13	-27.91151687715111	22
14	-27.90259202453697	23
15	-27.84573911252015	20
16	-26.010987385889365	12
17	-25.577052287138326	6
18	-24.61546240788038	14
19	-23.830979591091836	19
20	-22.071495625196185	7
21	-21.435489177315105	24
22	-20.86414251020637	1
23	-19.997168236963244	5
24	-19.995806551182852	17
