	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-17.65444344362113	-58.39142923927166	-20.469328533912236	-0.9097991279406006	1	1
1	-26.506875530125804	-62.735106083757636	-20.662362338665094	-0.9097991279406006	10	1
2	-25.49086302162118	-63.01168288103695	-20.962172436940087	-0.9097991279406006	11	1
3	-26.526417757205124	-62.729496846704	-20.604715601453837	-0.9097991279406006	13	1
4	-26.59319216307626	-62.98196663736014	-20.612904143423435	-0.9097991279406006	15	1
5	-26.586558990482615	-62.91769770760884	-20.587070576295933	-0.9097991279406006	16	1
6	-26.19906663595409	-62.86944030141349	-20.621951000267433	-0.9097991279406006	18	1
7	-20.799377367715643	-61.374708058118124	-20.172417727588925	-0.9097991279406006	19	1
8	-24.866750830898184	-61.07995980602734	-20.955528269823482	-0.9097991279406006	4	1
9	-20.305802219705484	-57.68274670903247	-20.875800757215778	-0.9097991279406006	5	1
10	-20.615763129874626	-58.04600398302405	-20.904601448670874	-0.9097991279406006	6	1
11	-21.03744044050097	-58.18852331474806	-20.826808162414597	-0.769880889872855	14	2
12	-21.11459008777806	-61.9075748752554	-20.632279347493135	-0.769880889872855	17	2
13	-26.551699916694208	-62.80118498585999	-20.595307550823865	-0.769880889872855	2	2
14	-25.526484259237286	-63.1002224873521	-20.921781698471683	-0.769880889872855	20	2
15	-26.576081268264687	-63.01697640015146	-20.631824305380125	-0.769880889872855	21	2
16	-24.97981478014308	-61.45253911872603	-20.885395752365373	-0.769880889872855	22	2
17	-25.395605895777884	-62.5711480986772	-20.890050982870626	-0.769880889872855	23	2
18	-25.228274010629665	-61.95853769530979	-20.89129788676189	-0.769880889872855	25	2
19	-26.52849557682082	-62.7035937371828	-20.654441644900643	-0.769880889872855	3	2
20	-26.53787044167819	-62.9200458883664	-20.582756182356032	-0.769880889872855	8	2
21	-26.591662097345907	-62.98387239157039	-20.682220137836282	-0.769880889872855	9	2
