	enthalpy	PDB_name
0	-26.557645770451636	20
1	-26.517979017863453	24
2	-26.49058027628468	12
3	-26.47946484385441	3
4	-26.4618378886784	13
5	-26.446676312870604	19
6	-26.300364521789334	8
7	-26.145816268878963	23
8	-26.138086090496177	7
9	-25.987131007874343	16
10	-24.78021952565654	4
11	-24.34717971285785	18
12	-24.30139984153576	2
13	-24.140987478876646	15
14	-24.117587437120754	21
15	-24.02084997622159	11
16	-23.928779714836622	6
17	-23.74386004680971	10
18	-23.604960489980726	22
19	-21.558776731607306	17
20	-20.198840605719724	5
21	-20.003035045043855	14
22	-19.966673814174186	9
23	-18.609988902884517	1
24	-18.508390076333015	25
