	total_energy	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-33.27783550136167	-32.27744127908481	-64.3548521094294	-20.13415221772071	-1.0003942222768598	19	5
1	-33.15919401816323	-32.247375522648966	-64.60725436653458	-20.1692720841116	-0.9118184955142613	7	7
2	-32.818620835002626	-31.906802339488365	-64.3926126180856	-19.99266750046712	-0.9118184955142613	16	7
3	-32.77876799813146	-31.866949502617196	-64.92944577773797	-20.05453002235585	-0.9118184955142613	3	7
4	-32.718019008738	-32.30698273066595	-64.69905611642335	-20.128484945170793	-0.4110362780720475	24	2
5	-32.70058400934175	-32.28954773126971	-64.69229254567702	-20.13617963313895	-0.4110362780720475	13	1
6	-32.30934997680209	-32.30934997680209	-64.74363707966054	-20.08068962856444	0.0	12	4
7	-32.24294624027173	-32.24294624027173	-64.64902719519651	-20.020632186688673	0.0	4	4
8	-32.181829334066464	-31.804376432267638	-64.21538163151503	-19.88979965801917	-0.37745290179882396	14	3
9	-32.13271108258653	-31.755258180787706	-63.775556525585664	-20.33495317782084	-0.37745290179882396	8	3
10	-28.337421377295787	-27.337027155018927	-61.495546765949584	-19.185279841347093	-1.0003942222768598	11	5
11	-28.202447520144673	-27.290629024630412	-61.21619251319995	-19.194515304574438	-0.9118184955142613	2	7
12	-27.817729943975813	-26.905911448461552	-61.100966720691076	-19.07348446058749	-0.9118184955142613	22	7
13	-27.70171563918958	-27.70171563918958	-61.47478566247899	-19.947895918323518	0.0	23	4
14	-27.6687199371218	-27.257683659049754	-61.81532018867192	-19.096264556201284	-0.4110362780720475	18	1
15	-27.640346120391804	-27.306881379632852	-61.22295135040081	-19.360727601256183	-0.3334647407589533	15	6
16	-27.594664924727198	-27.217212022928372	-61.144006892530776	-19.295237714835494	-0.37745290179882396	10	3
17	-27.581112600804385	-27.247647860045433	-60.88495285947883	-19.406996414054994	-0.3334647407589533	21	6
18	-26.9717332728576	-26.560696994785552	-61.28755098738746	-19.756142653066515	-0.4110362780720475	17	2
19	-26.758960066814165	-26.425495326055213	-60.25478683350055	-19.216338066693414	-0.3334647407589533	6	6
20	-25.327051890070575	-24.415233394556314	-61.80838558214644	-19.841697964363608	-0.9118184955142613	25	7
21	-24.155343279491767	-23.154949057214907	-59.27916682675732	-19.373027707390136	-1.0003942222768598	5	5
22	-23.836508135297315	-23.503043394538363	-60.23988595848366	-19.309254099146486	-0.3334647407589533	9	6
23	-22.754868500061654	-21.754474277784794	-60.258931953688666	-18.73936272175882	-1.0003942222768598	1	5
