	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name	cluster_size
0	-143.15046509237118	-47.06047776044592	-151.899147030277	0.0	10	11	10_11.pdb	2
1	-122.90002270020514	-38.76182448457467	-141.27995542489867	0.0	2	3	2_3.pdb	1
2	-120.4318916820202	-42.20122934674095	-130.10768449515066	0.0	6	11	6_11.pdb	6
3	-119.10180238434037	-38.54758349938038	-144.50881248056865	0.0	11	3	11_3.pdb	1
4	-114.34284627096548	-38.955964256103066	-129.29919314125553	0.0	8	1	8_1.pdb	4
5	-93.52599995886268	-31.668518839031755	-128.0721105447168	0.0	7	11	7_11.pdb	2
6	-62.28362717752171	8.053365021677845	-140.43766951842724	0.0	4	14	4_14.pdb	2
7	1131.5067849754942	882.1319318603554	-141.57745385330315	0.0	5	14	5_14.pdb	4
8	1164.9031402640978	891.1187318167284	-136.7115738728731	0.0	3	5	3_5.pdb	2
9	2371.877349920533	1782.855959695571	-154.44149628549593	0.0	9	12	9_12.pdb	2
10	2922.965001154297	2233.6942210162556	-109.61672110351236	0.0	1	12	1_12.pdb	2
