	total_energy	vdw	elec	grid_hbond	conformer_id	placement_id	PDB_name
0	-146.6727637684404	-46.60756084467875	-161.3662130716714	0.0	11	11	11_11.pdb
1	-133.6170194759622	-52.12370338776215	-136.1608081531554	0.0	8	15	8_15.pdb
2	-132.8564691047422	-39.61931874614543	-148.70032331360238	0.0	6	9	6_9.pdb
3	-130.88261818432733	-48.16841081222295	-138.7831187772239	0.0	1	13	1_13.pdb
4	-130.65820988120626	-37.48765398860485	-157.7456675455582	0.0	9	9	9_9.pdb
5	-130.4288673312489	-39.50602740152905	-155.92149254809746	0.0	2	11	2_11.pdb
6	-120.4318916820202	-42.20122934674095	-130.10768449515066	0.0	6	11	6_11.pdb
7	-120.14044956379573	-37.837652368459636	-138.0322319781622	0.0	6	13	6_13.pdb
8	-119.99967290409296	-38.42406885329086	-142.0853933204084	0.0	7	8	7_8.pdb
9	-119.54471751968255	-39.48508618334883	-136.74750578254205	0.0	2	2	2_2.pdb
10	-119.30534619512255	-42.41044795462113	-126.97368953425327	0.0	9	15	9_15.pdb
