	total_energy	grid_total	grid_vdw	grid_elec	grid_hbond	conformer_id	placement_id	PDB_name
0	-118.02871234049034	-100.64374803848025	-52.00778167966869	-48.63596635881156	0	11	95	11_95.pdb
1	-117.45263226257043	-108.42103657753376	-48.1382196867495	-60.28281689078426	0	10	29	10_29.pdb
2	-117.26588160710239	-99.09609076898998	-55.80869449413252	-43.287396274857464	0	11	41	11_41.pdb
3	-117.13616557425485	-98.63762290992392	-48.174347911260895	-50.46327499866302	0	3	86	3_86.pdb
4	-115.52818197965712	-100.7948950291269	-56.46159205672448	-44.333302972402436	0	11	54	11_54.pdb
5	-115.26642238608356	-93.68486472024006	-49.05039305275819	-44.634471667481876	0	3	3	3_3.pdb
6	-114.31859016308809	-101.77154045675223	-51.773675967286664	-49.99786448946556	0	10	56	10_56.pdb
7	-113.65434930878207	-99.49471502369238	-48.93699532076332	-50.55771970292906	0	3	74	3_74.pdb
8	-112.95228595904527	-102.78188907157477	-49.43507244651355	-53.346816625061216	0	3	7	3_7.pdb
9	-112.84003516904673	-98.06206120547259	-48.77408125114265	-49.28797995432995	0	11	80	11_80.pdb
10	-112.11853877615826	-114.11406717755867	-52.90667801868259	-61.20738915887608	0	10	50	10_50.pdb
11	-111.90229924898539	-94.42451532013277	-54.865295984898374	-39.5592193352344	0	7	37	7_37.pdb
12	-110.84555962868413	-103.84022421480962	-49.443327737594714	-54.39689647721491	0	11	11	11_11.pdb
13	-109.61189815662323	-100.38939742843459	-52.26174857133853	-48.12764885709606	0	11	86	11_86.pdb
14	-109.39567024738254	-99.57866483719626	-49.75401136316476	-49.8246534740315	0	1	53	1_53.pdb
15	-109.15369848057928	-98.2785389913568	-50.42458781493059	-47.85395117642621	0	8	16	8_16.pdb
16	-108.83500276665599	-99.01486990087875	-49.943119367951134	-49.07175053292762	0	1	17	1_17.pdb
17	-107.75574884553888	-85.08930721250756	-42.16566895678966	-42.923638255717904	0	3	41	3_41.pdb
18	-107.46532051070379	-98.97010448294131	-44.91446598281401	-54.0556385001273	0	8	44	8_44.pdb
19	-106.46226298660096	-99.85879169336752	-48.66237349050978	-51.19641820285775	0	4	8	4_8.pdb
20	-106.11607477574174	-90.20300010779877	-48.779795555785185	-41.423204552013594	0	4	32	4_32.pdb
21	-105.90485580591894	-94.5212197424921	-46.93019982350535	-47.59101991898675	0	3	81	3_81.pdb
22	-105.73205798288299	-94.73819168398657	-52.58652345680763	-42.15166822717893	0	11	78	11_78.pdb
23	-105.69822141207777	-94.38419856764517	-44.74709024274779	-49.63710832489738	0	8	59	8_59.pdb
24	-105.27543869330111	-95.7022111218856	30.93247802984744	-126.63468915173304	0	10	91	10_91.pdb
25	-103.72087980779823	-88.63552194091795	-43.46479195017218	-45.17072999074577	0	4	62	4_62.pdb
26	-103.17882751662879	-85.32411066504139	-47.69937111464581	-37.62473955039559	0	6	51	6_51.pdb
27	-103.08236323076454	-83.5151850259567	-50.41925876155817	-33.095926264398535	0	4	1	4_1.pdb
28	-102.40292396698041	-95.97067922708757	-46.17821728277471	-49.79246194431287	0	2	72	2_72.pdb
29	-102.26335681117405	-84.4373539011145	-49.075491118995615	-35.361862782118884	0	8	30	8_30.pdb
30	-102.24552698726961	-95.2014857349442	-48.31766074480544	-46.88382499013876	0	7	63	7_63.pdb
31	-101.96579093892007	-80.3896509402729	-45.38899211647127	-35.00065882380163	0	6	13	6_13.pdb
32	-101.80939032189482	-78.80086845248292	-50.050938794202075	-28.74992965828084	0	8	60	8_60.pdb
33	-101.68117196546174	-94.35849814385799	-46.136150188439466	-48.22234795541852	0	11	25	11_25.pdb
34	-100.30923194253765	-91.6081232964716	-44.558272739390596	-47.049850557081	0	5	59	5_59.pdb
35	-100.01551348123621	-90.40603880046217	-44.666201019475785	-45.73983778098639	0	3	12	3_12.pdb
36	-99.92842873573377	-78.97467451712012	-44.422955776900054	-34.551718740220075	0	4	16	4_16.pdb
37	-99.86272903312022	-94.18162900218866	-39.809527997010704	-54.372101005177946	0	1	19	1_19.pdb
38	-98.93508709361186	-80.80404192727248	-42.31404852835358	-38.4899933989189	0	8	61	8_61.pdb
39	-98.77131525604676	-76.98972548276257	-47.53665356473064	-29.453071918031917	0	3	51	3_51.pdb
40	-98.335048107358	-85.37500159015656	-38.48722874147557	-46.887772848680996	0	10	41	10_41.pdb
41	-98.27044086638504	-89.50481163996584	-42.8469908145	-46.65782082546583	0	7	44	7_44.pdb
42	-98.11687078827622	-84.54807398832986	-45.05277000094456	-39.49530398738529	0	6	35	6_35.pdb
43	-97.89244329193943	-76.17263678097528	-44.34772235455046	-31.824914426424815	0	11	84	11_84.pdb
44	-97.58207625243108	-76.4155653486566	-39.729024413434146	-36.68654093522246	0	4	35	4_35.pdb
45	-97.44054337903773	-88.0744322058646	-47.34910369697513	-40.72532850888947	0	11	40	11_40.pdb
46	-97.38427711496291	-92.01562268849767	-43.697542566345966	-48.318080122151706	0	5	11	5_11.pdb
47	-97.06085876939603	-87.67831029062525	-41.249749172874964	-46.428561117750284	0	8	53	8_53.pdb
48	-97.05635549095757	-86.73317929277962	-45.25224780903203	-41.48093148374759	0	3	78	3_78.pdb
49	-96.9278577984967	-81.5110884393342	-36.39339438564284	-45.11769405369136	0	8	50	8_50.pdb
50	-96.77459481246756	-89.51090099627359	-43.099284143898586	-46.411616852375005	0	3	66	3_66.pdb
51	-96.66522487569165	-93.04108793999796	-37.40397249236225	-55.63711544763571	0	8	51	8_51.pdb
52	-96.51686462321841	-75.25584336765863	-45.88019389558879	-29.375649472069842	0	6	38	6_38.pdb
53	-96.46026453999514	-80.35899575638707	-43.58907630939964	-36.76991944698744	0	10	94	10_94.pdb
54	-96.3572872446786	-76.03378519239169	-42.17424028523496	-33.85954490715673	0	2	90	2_90.pdb
55	-96.35420835462813	-75.35238492756233	-39.47740078031663	-35.8749841472457	0	6	77	6_77.pdb
56	-96.2873094054209	-78.66411744832304	-44.596636737442765	-34.067480710880275	0	8	13	8_13.pdb
57	-95.75161811440859	-76.77934715320404	-41.27514044025189	-35.50420671295215	0	6	62	6_62.pdb
58	-95.71354008776488	-77.7749973175781	-46.8435849011022	-30.931412416475904	0	8	99	8_99.pdb
59	-95.68749432023024	-80.7413338105144	-50.75125832723812	-29.990075483276286	0	8	37	8_37.pdb
60	-95.55371376044019	-92.41529880152216	-43.27213196758547	-49.14316683393668	0	11	100	11_100.pdb
61	-95.5508099815165	-81.82805885989157	-42.45010719353508	-39.37795166635648	0	8	82	8_82.pdb
62	-95.29528513054132	-75.84158753836022	-48.270623005256084	-27.57096453310414	0	8	8	8_8.pdb
63	-95.25953471337846	-79.19104071124568	-46.165438955049396	-33.02560175619629	0	6	26	6_26.pdb
64	-94.89564558690398	-73.4464459644309	-45.18166531580719	-28.264780648623713	0	9	100	9_100.pdb
65	-94.53830335784416	-80.61807034955518	-45.26552274367343	-35.352547605881746	0	11	60	11_60.pdb
66	-94.35696650952688	-74.12661682055278	-45.04028713633007	-29.086329684222715	0	8	66	8_66.pdb
67	-93.99315623607667	-74.82613071758541	-39.41143513064916	-35.414695586936254	0	9	60	9_60.pdb
68	-93.96058844050341	-77.80481766551884	-47.8895091131551	-29.915308552363733	0	8	5	8_5.pdb
69	-93.85552125198015	-80.2075275115776	-46.66614669636576	-33.54138081521184	0	8	80	8_80.pdb
70	-93.74209560826684	-83.1907439994485	-32.860648919376885	-50.330095080071615	0	3	30	3_30.pdb
71	-93.51896303305183	-77.70217841088329	-50.03333665158761	-27.668841759295685	0	8	93	8_93.pdb
72	-93.28647619660832	-86.16999736273846	-40.60169553594342	-45.568301826795036	0	1	39	1_39.pdb
73	-93.24029430017981	-80.67479456221419	-43.744843470483815	-36.92995109173037	0	1	96	1_96.pdb
74	-93.21372536943733	-79.76212131519219	-50.04840972148573	-29.71371159370645	0	2	12	2_12.pdb
75	-93.08848650763493	-71.65301108431643	-40.27911804233253	-31.3738930419839	0	2	8	2_8.pdb
76	-93.05276314675648	-78.30714687860838	-50.03838661908038	-28.268760259528005	0	1	47	1_47.pdb
77	-92.92117138711481	-87.20187067413997	-47.557289415974964	-39.64458125816501	0	4	91	4_91.pdb
78	-92.81710899151595	-84.21408060041021	-38.063588006740076	-46.15049259367014	0	11	77	11_77.pdb
79	-92.6714467475794	-72.08049347561627	-46.82921315250984	-25.251280323106432	0	8	73	8_73.pdb
80	-92.52575389663423	-81.10452063463421	-51.00083774083672	-30.103682893797497	0	1	83	1_83.pdb
81	-92.48752478064472	-95.4333103020383	-48.91989020202434	-46.51342010001395	0	5	68	5_68.pdb
82	-92.31963189549923	-78.45564129841155	-49.7429208255213	-28.712720472890247	0	8	35	8_35.pdb
83	-92.17571647440982	-78.6497642212206	-43.85544591808155	-34.79431830313904	0	8	88	8_88.pdb
84	-91.9982492203248	-65.21658670055265	-42.124686694182735	-23.091900006369915	0	3	79	3_79.pdb
85	-91.87518279711763	-73.6988688120103	-39.94150609172794	-33.757362720282366	0	6	47	6_47.pdb
86	-91.83505450326683	-76.59584622081502	-44.7415692496267	-31.854276971188327	0	8	92	8_92.pdb
87	-91.81156732097885	-72.70732098436136	-43.14300034798185	-29.564320636379517	0	10	70	10_70.pdb
88	-91.69205519810367	-76.07213060990574	-45.24327942210411	-30.828851187801636	0	8	29	8_29.pdb
89	-91.65323276749429	-74.96626383333474	-46.74786018033991	-28.218403652994827	0	8	97	8_97.pdb
90	-91.63260807413812	-84.56785015990624	-50.425134652052776	-34.142715507853474	0	5	8	5_8.pdb
91	-91.43953101264313	-79.9089363275303	-48.20831965819903	-31.700616669331268	0	8	1	8_1.pdb
92	-91.2223807973536	-72.48801501234391	-40.853739155380495	-31.634275856963416	0	10	1	10_1.pdb
93	-91.04928539972222	-73.9001306121666	-45.6828350527229	-28.21729555944371	0	5	66	5_66.pdb
94	-90.97998071932983	-77.29401140579252	-47.001283466932556	-30.292727938859965	0	8	72	8_72.pdb
95	-90.57290867010983	-81.07276602041512	-40.77178879583005	-40.30097722458506	0	10	8	10_8.pdb
96	-90.44059210746667	-73.22616982312124	-33.48515907080721	-39.741010752314025	0	8	56	8_56.pdb
97	-90.36425566737199	-82.09603303549599	-35.61595021210137	-46.480082823394625	0	7	36	7_36.pdb
98	-90.26691102720685	-86.87626524901998	-42.60474269478733	-44.27152255423264	0	1	74	1_74.pdb
99	-90.25661432632077	-77.52512278858151	-41.6313515678053	-35.893771220776216	0	8	85	8_85.pdb
100	-90.11800867124015	-77.091819594165	-48.03025266980512	-29.061566924359873	0	11	42	11_42.pdb
101	-90.10077924019885	-81.8821240778305	-44.581174375498534	-37.300949702331955	0	11	2	11_2.pdb
102	-89.77937683607034	-80.38731964790486	-46.68989734596625	-33.69742230193861	0	4	9	4_9.pdb
103	-89.68096958156688	-87.89883002266303	-42.328065723504565	-45.57076429915847	0	3	57	3_57.pdb
104	-89.67418718529441	-87.04160150965748	-39.08661664314292	-47.95498486651456	0	10	68	10_68.pdb
105	-89.36804953910041	-74.85436009942481	-33.80063621901398	-41.05372388041082	0	6	40	6_40.pdb
106	-89.11599618491258	-66.97486700849441	-43.30737217475385	-23.667494833740555	0	6	72	6_72.pdb
107	-89.07867376177344	-77.5625263722888	-42.02620097977918	-35.536325392509625	0	11	83	11_83.pdb
108	-88.64972433964448	-77.19346266326252	-35.34074826751152	-41.852714395751	0	7	8	7_8.pdb
109	-88.41741392871384	-65.12795431767368	-43.47242458637069	-21.655529731302988	0	9	11	9_11.pdb
110	-88.36511947640497	-76.82801214802632	-46.91184280087065	-29.91616934715566	0	9	13	9_13.pdb
111	-88.36086219382318	-66.90883978279251	-44.731380949073156	-22.17745883371935	0	6	32	6_32.pdb
112	-88.16401806256258	-82.11722650536922	-38.81299003690378	-43.30423646846544	0	11	30	11_30.pdb
113	-87.91236335169204	-76.12959344003607	-42.242629437694376	-33.8869640023417	0	4	42	4_42.pdb
114	-87.90822830465898	-67.23879109924134	-23.344143401206374	-43.894647698034966	0	6	73	6_73.pdb
115	-87.84159779009306	-85.22132524453119	-38.15453938228994	-47.066785862241254	0	1	41	1_41.pdb
116	-87.78674817821515	-77.50625224967042	-42.13209032178388	-35.37416192788655	0	11	71	11_71.pdb
117	-87.77294246124269	-88.61870490534113	-37.22903741941292	-51.389667485928214	0	3	95	3_95.pdb
118	-87.44965249716955	-81.381465678062	-32.99958715327874	-48.381878524783254	0	1	59	1_59.pdb
119	-87.23008324180205	-80.64969271316252	-43.877770607692334	-36.771922105470196	0	11	8	11_8.pdb
120	-87.18140999648952	-72.75258629355416	-39.693050662143776	-33.059535631410384	0	8	23	8_23.pdb
121	-87.14849066836432	-74.93041417165283	-44.05627033510558	-30.874143836547248	0	8	64	8_64.pdb
122	-87.14555098188477	-79.01434449562004	-44.35653086988077	-34.657813625739266	0	9	63	9_63.pdb
123	-86.95264906632238	-79.12770978917317	-46.17030925345634	-32.95740053571682	0	4	60	4_60.pdb
124	-86.87322457509387	-62.51940033363995	-43.195196812017414	-19.324203521622536	0	8	68	8_68.pdb
125	-86.82287295522485	-74.73291434742507	-44.23228096151593	-30.50063338590914	0	11	13	11_13.pdb
126	-86.76933644623247	-80.17309267504314	-37.49672512227154	-42.67636755277159	0	1	87	1_87.pdb
127	-86.45514134716262	-74.27468032065565	-43.23310738732648	-31.041572933329174	0	4	65	4_65.pdb
